,article_id,article_title,article_writer,article_view,article_like,article_comment,article_datetime
37,964026321,DELL 15-7559 i7-6700HQ GTX960M 캐드 게이밍노트북,notebookseller,8,0,0,2023-01-02 07:12:42
38,964026126,[미개봉]LG 그램14 11세대 14Z95N-GP50ML 노트북판매,type0214,1,0,0,2023-01-02 07:10:09
39,964025225,"MS 오피스 2021 / 2019 엑셀 워드 파워포인트 윈도우10,11 홈 / 프로",kuus2,3,0,0,2023-01-02 06:56:34
40,964025047,[매입] 허위매입X 감가X 최고가O 전자제품은 전부매입 가능합니다.,nb0055,11,0,0,2023-01-02 06:53:18
41,964024394,L﻿enovo 게이밍노트북 700-15isk i5-6 GTX950M 34만,notebookseller,4,0,0,2023-01-02 06:41:58
42,964024363,[미개봉]LG그램16 16Z90P-GP5EL i5/16GB 노트북 판매,type0214,1,0,0,2023-01-02 06:41:18
43,964022898,[미개봉]그램15 15Z95N-GP79ML i7/16GB/512GB 판매,type0214,0,0,0,2023-01-02 06:12:02
44,964022860,에이서 Swift3 SF314 i5-8세대 지포스 MX150 캐드 중고노트북,notebookseller,1,0,0,2023-01-02 06:11:18
45,964021901,[판매]]] 맞춤형 컴퓨터 판매합니다 [복구프로그램 ][맞춤상담],minzzz09,6,0,0,2023-01-02 05:51:12
46,964021441,[판매]12월기획 엘지15N540 i7 4세대 램16 지포스 33만,notebookseller,3,0,0,2023-01-02 05:40:37
47,964005139,[판매]라이젠5 라파엘 조립PC 7600X/7700X/7900X/7950X/게이밍,ansejun123,4,0,0,2023-01-02 00:38:24
48,964005094,"[판매] 12,13세대 조립PC i5 12400F/i5 13600K/i7 12700F/i9 13900K",ansejun123,6,0,0,2023-01-02 00:37:54
49,964005050,[판매]라이젠 조립PC 컴퓨터 5600/5600X/5700X/5800X/5950X/3070,ansejun123,6,0,0,2023-01-02 00:37:24
